,Id,SMILES,IC50,Structure ID,pdb_entry,prior,category,initial_screen,is_covalent,purchasable,inspired_by
86,DAR-DIA-fc970077-11,O=C1CN(c2ccccc2)CCCN1c1cccnc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
87,DAR-DIA-fc970077-12,O=C1C(c2ccccc2)C=CCN1c1cccnc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
88,DAR-DIA-fc970077-14,O=C(Nc1ccccc1)N(c1cccnc1)c1ccccn1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
89,DAR-DIA-43a5904b-1,NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
90,DAR-DIA-43a5904b-2,NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Br)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
91,DAR-DIA-43a5904b-3,NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(I)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
92,DAR-DIA-43a5904b-4,NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(C(F)(F)F)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
93,DAR-DIA-43a5904b-5,NC(=O)[C@H]1C(O)C(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
94,DAR-DIA-43a5904b-6,NC(=O)[C@H]1[C@@H](c2cccc(Cl)c2)C=C(Cc2cccnc2)[C@@H]1O,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
95,DAR-DIA-43a5904b-7,NC(=O)[C@H]1CC(Cc2ccccc2)=C[C@H]1c1cccc(Cl)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
96,DAR-DIA-43a5904b-8,NC(=O)[C@H]1CC(Cc2cncs2)=C[C@H]1c1cccc(Cl)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
97,DAR-DIA-43a5904b-9,NC(=O)[C@H]1CC(Cc2cnco2)=C[C@H]1c1cccc(Cl)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
98,DAR-DIA-43a5904b-10,NC(=O)[C@H]1CC(CC2CC2)=C[C@H]1c1cccc(Cl)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
99,DAR-DIA-43a5904b-11,Cn1cc(CC2=C[C@@H](c3cccc(Cl)c3)[C@@H](C(N)=O)C2)cn1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
100,DAR-DIA-43a5904b-12,NCCCCNC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
101,DAR-DIA-43a5904b-13,NCCNC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
102,DAR-DIA-43a5904b-14,CC(C)CCNC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-14
