,Id,Ordered,Made,Assayed,Maker,order_date,shipment_date
341,HAN-NEW-5f56c3bc-5,False,False,False,,,
342,SAL-INS-1c7a5a55-1,False,False,False,,,
343,SAL-INS-1c7a5a55-2,False,False,False,,,
344,SAL-INS-1c7a5a55-3,False,False,False,,,
345,SAL-INS-1c7a5a55-4,False,False,False,,,
346,SAL-INS-1c7a5a55-5,False,False,False,,,
347,SAL-INS-1c7a5a55-6,False,False,False,,,
348,SAL-INS-1c7a5a55-7,False,False,False,,,
349,SAL-INS-1c7a5a55-8,False,False,False,,,
350,SAL-INS-1c7a5a55-9,False,False,False,,,
351,SAL-INS-1c7a5a55-10,False,False,False,,,
352,SAL-INS-1c7a5a55-11,False,False,False,,,
353,SAL-INS-1c7a5a55-12,False,False,False,,,
354,SAL-INS-a5f8a8b9-1,False,False,False,,,
355,SAL-INS-a5f8a8b9-2,False,False,False,,,
356,NAU-LAT-ec9c7557-1,False,False,False,,,
357,NAU-LAT-ec9c7557-2,False,False,False,,,
358,NAU-LAT-ec9c7557-3,False,False,False,,,
359,NAU-LAT-ec9c7557-4,False,False,False,,,
360,NAU-LAT-ec9c7557-5,False,False,False,,,
361,NAU-LAT-ec9c7557-6,False,False,False,,,
362,NAU-LAT-ec9c7557-7,False,False,False,,,
363,AGN-NEW-cce853d0-1,False,False,False,enamine,2020-04-17,
364,AGN-NEW-cce853d0-2,False,False,False,,,
365,AGN-NEW-cce853d0-3,False,False,False,,,
366,SAL-INS-68b48d12-1,False,False,False,,,
367,SAL-INS-68b48d12-2,False,False,False,,,
368,SAL-INS-68b48d12-3,False,False,False,,,
369,SAL-INS-68b48d12-4,False,False,False,,,
370,SAL-INS-68b48d12-5,False,False,False,,,
371,SAL-INS-68b48d12-6,False,False,False,,,
372,SAL-INS-68b48d12-7,False,False,False,,,
373,SAL-INS-68b48d12-8,False,False,False,,,
374,SAL-INS-68b48d12-9,False,False,False,,,
375,SAL-INS-68b48d12-10,False,False,False,,,
376,SAL-INS-68b48d12-11,False,False,False,,,
377,SAL-INS-68b48d12-12,False,False,False,,,
378,ANN-UNI-26382800-1,False,False,False,,,
379,ANN-UNI-26382800-2,False,False,False,,,
380,ANN-UNI-26382800-3,False,False,False,enamine,2020-03-31,2020-04-09
381,ANN-UNI-26382800-5,False,False,False,enamine,2020-03-31,2020-04-17
382,ANN-UNI-26382800-6,False,False,False,enamine,2020-03-31,2020-04-17
383,ANN-UNI-26382800-7,False,False,False,,,
384,SAM-UNK-83e03154-1,False,False,False,,,
385,SAM-UNK-83e03154-2,False,False,False,,,
386,SAM-UNK-83e03154-3,False,False,False,,,
387,CHR-SOS-e960e883-1,False,False,False,,,
388,CHR-SOS-e960e883-2,False,False,False,,,
389,CHR-SOS-e960e883-3,False,False,False,,,
390,CHR-SOS-e960e883-4,False,False,False,,,
391,CHR-SOS-e960e883-5,False,False,False,,,
392,CHR-SOS-e960e883-6,False,False,False,,,
393,CHR-SOS-f7373dd1-1,False,False,False,,,
394,CHR-SOS-f7373dd1-2,False,False,False,,,
395,CHR-SOS-f7373dd1-3,False,False,False,,,
396,CHR-SOS-f7373dd1-4,False,False,False,enamine,2020-03-31,2020-04-27
397,CHR-SOS-f7373dd1-5,False,False,False,,,
398,CHR-SOS-f7373dd1-6,False,False,False,,,
399,TRI-UNI-97428359-1,False,False,False,enamine,2020-03-31,2020-04-27
400,TRI-UNI-97428359-2,False,False,False,,,
401,TRI-UNI-97428359-3,False,False,False,,,
402,CHR-SOS-59746812-1,False,False,False,,,
403,CHR-SOS-59746812-2,False,False,False,,,
404,CHR-SOS-59746812-3,False,False,False,,,
405,CHR-SOS-59746812-4,False,False,False,,,
406,CHR-SOS-59746812-5,False,False,False,,,
407,CHR-SOS-59746812-6,False,False,False,,,
408,CHR-SOS-b301fc01-1,False,False,False,,,
409,CHR-SOS-b301fc01-2,False,False,False,,,
410,CHR-SOS-b301fc01-3,False,False,False,,,
411,CHR-SOS-b301fc01-4,False,False,False,,,
412,CHR-SOS-b301fc01-5,False,False,False,,,
413,CHR-SOS-b301fc01-6,False,False,False,,,
414,CHR-SOS-b301fc01-7,False,False,False,,,
415,CHR-SOS-54d5cf3e-1,False,False,False,,,
416,CHR-SOS-54d5cf3e-2,False,False,False,,,
417,CHR-SOS-54d5cf3e-3,False,False,False,,,
418,CHR-SOS-54d5cf3e-4,False,False,False,,,
419,CHR-SOS-54d5cf3e-5,False,False,False,,,
420,CHR-SOS-54d5cf3e-6,False,False,False,,,
